Number of bedrooms,Number of bathrooms,Area,number of floors,Built Year,Price
3,2.5,3980,2,2000,475200
3,1.75,4054,1.5,1926,475000
3,2.5,5400,1,2001,464000
3,1.75,51836,1.5,1978,459900
3,2.75,31314,3,1986,455000
9,7.5,6504,2,1996,450000
3,1,5440,1,1929,450000
4,2.5,8392,2,2014,436472
3,3.25,3600,2,1995,429000
3,3,47050,2,1986,420000
3,2.75,8000,1,1965,420000
3,2.75,111514,2,1967,415000
4,2.5,5743,2,2002,415000
4,1.75,10500,1,1968,402000
3,1,43000,1,1952,400000
3,2.5,4788,2,2012,400000
4,3,10297,2,2003,398950
2,1,3100,1,1911,390000
4,2.5,11897,2,2003,386000
3,1.75,7216,1,1969,381000
3,2.5,7202,1,1991,379260
4,2.25,7925,1,1960,367500
3,2,10200,1,1977,366000
3,2.5,4242,2,2000,355000
3,2.25,7200,1,1975,350500
3,1.5,4400,1,1909,350000
3,2.5,2765,2,2011,349900
3,2,11620,1,1994,340000
3,2.5,7632,2,1998,335000
3,2,8160,1,1961,334500
2,1,9750,1,1947,327000
2,1,17817,1,1980,325000
2,2.5,819,2,2006,319950
4,2.5,9000,1,1979,317500
4,2.5,8449,2,1992,314000
3,2.5,5027,2,2002,305000
3,2.25,7562,2,1994,297000
3,1.75,4000,1,1979,295000
3,2.5,2740,2,1999,292000
3,2.5,6666,2,1992,290700
2,1.5,1060,3,2006,290000
3,2,24046,1,1985,289275
2,1,5000,1,1951,280000
3,1.5,4694,2,2011,274000
3,1.75,9000,1,1978,270000
4,2.5,13500,1,1968,269950
3,1,20400,1,1959,253500
2,1,2191,1,1937,252500
3,1,7657,1,1955,233000
3,1,56628,1,1942,229000
3,1.5,5000,1,1979,229000
3,2,1340,2,2003,209000
3,1,5000,1,1963,205950
1,1.5,4800,1,1942,199950
3,1,10023,1,1962,169500
2,1,6400,1,1940,140000
4,3.25,28206,1,1991,3200000
5,3.25,35765,2.5,1911,2200000
4,4.5,13162,2,2004,2190000
4,3.5,12500,2,2003,1650000
3,2.5,14000,2,1999,961500
4,3,9058,1,1989,946000
4,1.75,11400,1,1976,925000
4,2.5,8532,2,1998,915000
3,1.5,5000,2,1925,870000
3,2.25,3600,1.5,1911,850000
4,2.75,12469,1,1958,839000
2,1,7098,1,1924,822500
4,3.5,4322,2,2005,810000
3,2.25,1386,3,2014,799950
4,3.5,3000,2,2014,790000
2,0.75,4800,1.5,1942,785000
1,1,4000,1.5,1910,713000
4,2.5,6235,2,2001,690000
3,2.5,4134,2,2004,675000
3,3.5,10800,2,1998,640000
4,1.75,6000,1,1939,639000
5,1.75,18295,1,1955,618000
3,1,4300,1.5,1929,600000
4,2.25,8372,2,1984,595000
4,2.5,8971,2,1987,590000
4,1.75,208652,1,1919,589000
3,3,954,3,2006,589000
5,2.75,10059,2,1978,540000
3,2.25,12286,2,1977,534950
3,2.25,6450,1,1979,527000
3,1.75,9707,1,1966,522500
2,1,14100,1,1954,500000
5,3.5,4900,2,2011,491000
3,1,8000,1,1959,475000
2,1,403365,1,1905,474000
5,2.5,24759,1,1969,469500
4,2.25,10810,2,1988,465000
2,1.5,1120,2.5,2008,465000
3,2.5,7829,2,1987,455000
4,3,7198,2,2002,444000
3,2.5,7120,1,1961,432500
3,1,7076,1,1959,425000
3,2,38332,1,1975,420000
3,2.5,7020,1,1967,420000
2,1,6100,1,1940,406650
2,1,10481,1,1981,405000
4,1,5750,1,1904,403504
4,2.5,94525,2,1977,401500
4,1.75,9750,2,1977,400000
3,1.5,1488,2,2003,396500
4,2.75,47250,1,1987,390000
4,2.75,12848,1,1975,390000
3,1.75,5863,1.5,1928,385000
4,2.5,10580,2,1966,383000
5,2.75,6895,2,2003,381000
4,2.5,11070,1,1964,380000
4,2.5,7707,2,2004,380000
3,2,13775,1,1968,375000
4,1.75,15909,1,1974,375000
4,2.5,6120,2,2005,370500
5,1.75,9360,1,1965,368500
4,2.5,6116,1,1985,352000
4,2.5,13755,1,1975,350000
6,3.25,6893,1,1983,330000
3,1.75,4548,1,1961,330000
3,2.25,9656,1,1989,329500
2,1,8183,1,1950,327500
4,2.5,5361,2,1999,327000
3,2.5,1577,3,2000,326000
4,2.5,3543,2,2004,325000
2,1,10800,1,1974,325000
4,2.25,9020,2,1978,320000
4,2.5,7007,2,1996,320000
3,2.25,7479,2,1992,316000
4,2.5,5650,1,1950,315000
4,2.5,4968,2,2009,305950
4,2.25,12581,2,1978,305000
4,1.75,7200,1,1960,290000
4,2.25,8050,2,1978,283500
3,2.5,22326,2,1993,280000
3,1.5,16000,1,1960,279000
3,2.25,3825,2,2012,270000
4,1.75,8000,1,1974,268500
5,3.5,6600,2,1977,267500
3,2,16535,1,1992,265000
3,1,11200,1,1957,261000
3,1,9472,1,1972,255000
3,1,8138,1,1949,241450
3,2,6634,1,1985,237000
2,2.5,2693,2,2003,225000
3,1.5,7221,1,1962,225000
3,2.25,5999,2,1987,221000
3,1.5,12000,1,1986,219000
2,1,6000,1,1944,215000
2,1,4860,1,1955,207000
3,2,10155,1,1980,190500
2,1.5,9031,1,1982,190000
2,1,8000,1,1954,185000
2,1,5140,1,1926,183000
3,1,7500,1,1954,172500
4,3.25,19798,2,1969,2400000
4,2.75,15400,2,1986,1220000
4,2.75,12840,2,1960,1050000
4,4.5,4606,2,1929,1050000
3,2.5,6947,2,2013,950000
4,2,4178,1.5,1926,895000
4,2.5,8250,1,1958,880000
3,2.5,5414,2,1990,870000
3,2,9400,1,1978,855000
4,3,4500,2.5,1900,829000
3,2.75,24192,2,1987,825000
2,1.75,8700,1,1960,802000
2,1,8750,1,1951,800000
4,2.75,5416,2,2014,790500
4,2.75,11900,1,1961,790000
4,2.75,6200,1.5,1947,775000
4,2.5,8680,1,1958,772000
3,2.75,9600,2.5,1909,765000
3,2.25,5301,2,1975,750000
3,3.75,7630,1,1976,750000
4,3,199253,2,2004,740000
4,2.5,7700,1,1958,715000
3,2.5,4636,2,2006,698000
5,2.75,9437,2,2014,679950
4,1.75,5100,1,1949,595000
3,2,9570,1,1940,547500
3,2.5,3366,2,1996,545000
3,2,3200,1.5,1910,539950
3,2.75,1125,3,2008,535000
4,1.75,12950,1,1968,524400
4,2.5,8798,2,1987,520000
4,2.5,5672,2,2005,518000
3,1,8000,1,1957,510500
3,2.75,77536,1,1978,500000
3,2.5,1614,2,2007,499000
3,2,12196,2,1970,490000
5,3.5,218472,2,1999,487500
6,2.5,13501,1,1980,484000
2,1.75,4635,1,1924,480000
3,1.75,36585,1,1970,478000
3,1,4635,1,1919,475000
3,2.5,35912,2,1982,475000
3,1,4400,1,1951,470000
4,2.5,30083,2,1998,470000
4,2.25,7701,1,1977,465000
3,2.5,2589,2,2000,450000
3,1.75,7567,1,1980,442573
6,3.5,8620,2,1987,435000
3,2,2500,1,1986,435000
3,1.75,7700,1,1957,415950
1,1,3000,1,1900,415000
3,2.5,7263,2,2007,409000
3,3,1473,2,2000,408000
4,2.5,6000,2,2011,407000
2,2.5,1679,2,2012,395825
2,1.5,5000,1,1925,392000
3,2,5737,2,2003,390000
3,1.75,18000,1,1968,385000
2,2,5756,1,1986,380000
6,2.5,11662,1,1965,376000
4,2.25,12738,2,1975,375000
4,2.25,9660,1,1968,372500
3,1.75,10800,1,1951,368000
3,1.75,8234,1,1950,367950
3,1.75,12669,1,1965,367000
5,2.75,9253,2,2004,365000
3,2,1298,3,1995,350000
3,2,2500,1,1991,350000
2,1.75,11437,2,1958,335000
4,2.5,7000,1,1989,330000
3,2,43575,1,1988,322000
5,2.5,5751,2,2002,315000
4,1.75,12150,1,1976,310000
1,1,11800,1.5,1950,309950
4,1.75,7200,1.5,1947,305000
4,2.5,12000,1,1977,305000
3,1.75,15480,1,1983,299000
3,1,169448,1,1955,299000
3,2.5,7460,1,1997,285000
1,1.75,10900,1,1968,283700
4,2.25,7738,1.5,1964,278000
2,1.75,11317,1,1931,275000
3,1.5,9547,1,1962,269950
3,1.75,18335,1,1961,249000
4,2.25,7526,1,1985,231500
4,1,6000,1.5,1907,225000
3,1.75,7200,1,1994,224400
3,1,7260,1,1959,221000
3,2.25,7518,1,1985,220000
3,1.75,8670,1,1984,216000
3,1,7000,1,1968,213950
3,1,7740,1,1960,207000
5,2.5,10202,1.5,1970,206325
2,1,4000,1,1916,199400
3,1.75,17390,1,1956,199000
3,1,5200,1,1969,179000
5,2.25,8442,2,1963,1850000
3,3.25,35153,3,2001,1700000
5,3.75,13990,2,2001,1360000
5,4,2800,3,1974,1200000
5,2.75,15118,1,1972,1170000
10,5.25,10920,1,2008,1150000
3,3,16857,1,2000,1100000
4,2.75,15877,1,2005,1010000
3,2.25,4590,2,1941,980000
6,3,22421,1,1948,975000
4,2.5,15653,2,1964,950000
4,2.5,11648,2,1986,909000
4,2.5,8507,2,1987,900000
4,3.5,5000,3,2014,889000
6,3.25,4536,2,1917,875000
3,2.25,6690,2,1944,835000
3,1.75,6000,1.5,1913,819000
5,1.75,501376,2,1930,800000
4,3.5,4850,2,2010,785000
4,2.5,16139,2,1989,763776
4,3,5560,1,1974,760000
7,3.75,5000,2,1984,727160
4,3,292723,2,1998,688000
4,2.5,25248,1,1954,685000
3,2.5,9218,2,1998,683000
5,2.75,5000,2,2005,682000
8,2.75,4800,2,1901,680000
3,2.5,9350,2,1957,679000
5,2.75,4000,1.5,1927,671500
5,2.5,46786,2,1995,655000
4,2.25,9021,2,1973,610000
4,3.5,3600,2,1998,601000
4,2.25,10000,1,1974,596000
4,1.75,8447,2,1936,550000
4,2,8880,1,1958,548000
4,2.5,7850,2,1985,540000
4,1.75,6120,1,1918,540000
4,1.75,19500,1,1971,540000
3,2.5,21893,2,2006,530000
6,3,7560,2,1980,525000
3,2.25,8158,1,1984,507000
3,2.5,5326,2,2008,500000
3,2.25,216057,2,1994,500000
5,1.75,14100,1,1972,485000
2,1,3800,1,1916,485000
3,1,3880,1,1963,466950
3,2.25,7923,1,1977,461000
3,1.75,12600,1,1977,450000
3,2.5,19744,2,1990,450000
4,2.5,5515,2,2006,450000
3,1.75,7590,1,1988,449950
3,2.5,3076,2,2003,447000
3,1.5,7749,1,1960,446450
3,2.5,930,2,2006,445000
3,2.5,11231,2,1987,440000
3,2.5,9266,2,1988,428040
4,1.75,9000,1,1967,423000
2,1,4500,1,1937,415000
6,2,6554,2,1905,400000
3,2.5,12244,2,1998,380600
3,2,42247,1,1980,375000
4,2.5,7800,2,2011,375000
4,1.5,14490,1.5,1963,374950
4,2.5,11050,1,1969,364000
3,1.75,11520,1,1952,359000
1,1,6380,1,1947,350000
3,2.5,9134,2,2008,342000
2,1,7440,1,1939,335900
2,0.75,6862,1,1924,330000
4,2.5,3980,2,2002,328000
4,1.75,9240,1,1959,324950
2,1,8370,1,1941,324000
5,2.5,13034,1,1962,323000
3,2.5,26670,2,1987,309900
4,2.5,3577,2,2014,306000
3,2.5,8234,2,1994,297000
4,2.5,7800,2,2003,294000
3,1,6400,1,1944,289500
4,1.5,6386,1,1954,280000
4,1.75,7730,1,1956,270000
3,2,1920,2,2006,270000
1,0.5,1642,1,1910,255000
3,2.25,7770,1,1977,255000
3,1.75,10454,1,1968,249950
2,1,5160,1,1949,248500
3,2,13125,1,1910,245000
3,3,7794,1,1981,243500
3,1,10665,1,1961,225000
3,1.5,9331,1,1956,220000
3,1,5000,1,1957,220000
3,1,7800,1,1962,217000
3,2,18304,1,1953,169100
3,3.75,39317,2,1991,1830000
5,3.5,12240,2,1990,1500000
4,3.5,16782,2,2014,1400000
4,3.5,13175,2,1989,1290000
4,2.5,10893,2,1997,1040000
3,3,3600,2,1994,925000
4,3.25,60086,2,2005,925000
4,2.75,10214,1,1955,900000
4,2,7200,2,1910,900000
4,3.5,5000,2,2001,866800
4,3.25,67518,2,1988,844000
3,2.5,9600,2,1994,820000
3,2,5015,1.5,1920,785000
4,2.75,6500,2,2006,780000
4,2.5,9643,2,2003,772000
3,1.75,7800,1,1941,750000
4,2.5,10330,2,1992,740000
3,1.75,3060,1,1930,733000
4,2.5,17038,2,2007,720000
3,2.75,218235,2,1990,710000
2,1,5800,1,1939,661000
3,1.75,6002,1,1942,657500
3,2,2720,1.5,1913,650000
3,1,4944,1,1950,640000
4,2.25,7200,1,1977,625000
3,2,4080,1,1921,607000
3,2.25,41250,2,1984,590000
2,1.5,4750,1,1947,555000
4,2.5,9719,1,1960,550000
3,1.75,5750,1.5,1925,545000
2,1,4000,1,1906,514000
3,1.5,962,3,2014,500000
3,1.75,9334,1,1977,499990
4,3,2811,2,2003,495000
3,1.75,11360,1,1975,490000
5,2.5,3600,1.5,1912,475000
3,2.5,98881,2,1991,475000
3,2.5,10018,1,1976,425000
3,2,18000,1,1989,405000
2,1.5,1648,2,2002,375000
3,2,2445,1,2002,373000
3,1,3060,1.5,1904,345000
4,2.5,5607,2,2002,343888
1,1,4800,1,1907,330000
3,1,11900,1,1972,330000
3,2.5,12750,2,1991,300000
4,2,9600,1,1965,300000
3,1.5,785,2,2014,277140
4,2.5,11132,1,1978,275000
2,1,74052,1,1968,269500
2,1,5160,1,1943,265000
3,1.5,7827,1,1968,259950
3,1,11658,1,1958,249950
4,2,5200,1,1977,229999
3,2,7187,1,1981,222000
3,1,8316,1,1953,214000
3,1,8816,1,1966,207500
2,1,12252,1,1994,190000
2,1.75,2926,1,1974,187000
2,1,9000,1,1928,130000
4,3.75,15151,2,2004,959900
5,2.5,5000,1,1913,739000
3,1,5850,1,1954,320000
2,1,6840,1,1942,250000
4,2.5,52062,1.5,1988,855000
3,2.5,9680,2,1991,710000
3,2.5,18167,2,1991,610000
3,1.75,8611,1,1973,380000
4,3,4000,2,1909,1180000
5,4.25,13252,2,2004,1170000
4,2.5,6325,2,1919,990000
4,2.5,10962,2,1990,980000
4,3.5,7178,2,2006,833000
3,2,9527,1,1951,832500
4,2.5,9901,2,1998,828000
3,2.5,10033,1,1974,726000
5,2,10800,1,1968,708000
6,2,4240,1.5,1911,705000
4,2.5,4688,2,2003,690000
4,2,11040,1,1961,649000
4,3.25,4104,2,2014,641000
3,2.5,7500,2,1991,640000
3,1.75,4063,1,1940,631750
2,1.5,5750,1.5,1900,625000
3,1,4080,1,1925,625000
4,1.75,9216,1,1961,624000
2,2.5,1988,2,2011,600000
5,2.5,15783,1,1974,580000
3,1,4500,1,1938,578000
3,1.75,5000,1.5,1900,554600
4,2.5,9045,2,2001,550000
5,3,5250,2,2006,539950
3,2.5,19485,2,1990,535000
3,2.25,5133,2,1986,530000
4,1.5,8160,1.5,1946,515000
4,1,7200,1,1925,510000
3,1.5,8815,1,1958,500000
3,1,8308,1.5,1948,474900
3,3.25,1194,3,2004,469000
2,1,4284,1,1921,469000
2,2.5,2167,2,2007,468000
3,2.25,7313,1,1975,460000
2,1,6731,1,1950,454000
4,2.75,14141,1.5,1941,449000
4,2,43692,1,1957,446000
4,2.5,8375,1,1974,446000
4,2,5920,1.5,1935,442500
3,2.25,9682,1,1969,425000
3,1,7491,1,1917,417500
2,1,4080,1,1949,410000
3,1,10752,1.5,1929,402500
3,1,18050,1,1969,399950
4,1.75,9750,1,1975,390000
3,2,8580,1,1990,380000
1,1.5,44866,1.5,1983,380000
3,1.75,34800,1,1967,377000
3,1,4050,1.5,1928,370000
3,2.5,11525,1,1961,360500
4,1.75,8000,1,1976,355000
2,1,6720,1,1952,355000
3,1,8400,1,1953,352500
3,1,4980,1,1941,350000
2,1,4494,1,1949,345000
3,2.25,871,3,2007,344000
3,2.5,7423,2,1990,339900
3,2.5,13440,2,1992,338000
3,1,7560,1,1951,333000
3,1.75,14986,2,1943,330000
2,1,4800,1,1911,313300
2,1,5150,1,1907,312000
2,1.75,55321,1,1941,311000
3,1,8631,1,1942,311000
3,1.75,169448,1,1977,305000
2,1,7250,1,1949,305000
4,2.25,9600,1,1976,304999
3,2,17120,1,1966,295450
3,1,9000,1,1955,290000
3,1.75,7410,1.5,1944,280000
4,1,6000,1.5,1943,279000
2,1,5000,1,1951,275000
3,1.75,13068,1,1974,271675
3,1,5605,1,1942,270000
3,1.5,2625,2,1986,269000
5,4,8580,1,1954,265000
3,1,7395,1,1969,255000
3,1.5,5150,1,1940,249000
3,1.75,8378,1,1978,230000
4,3,6003,1,1997,230000
3,1.75,55321,1.5,1977,213000
2,1,6400,1,1938,205500
5,1.75,15525,1,1959,200000
3,1,6534,1,1952,159000
4,3.25,15929,2,2001,2300000
4,3.25,7749,2,1950,1750000
4,2.75,8570,2,1993,1570000
5,3.5,8000,2,2008,1210000
2,1.5,184231,2,2005,1060000
3,2,8000,1,1955,998800
4,2.5,16200,1,1950,968060
5,3.5,13495,1,1988,925000
4,2.5,14565,2,1990,870000
6,4.5,4400,2,1987,869900
4,2.5,6923,2,2009,860000
5,1.75,6000,1.5,1920,860000
4,2.75,10245,2,1999,792000
4,2.5,8664,1,1975,790000
4,2.5,8036,2,1987,790000
3,2.25,9297,2,1981,720000
4,3.5,9000,2,1997,709050
4,2.5,6240,2,2013,702000
4,2.5,5368,2,2003,676000
4,2,5188,1.5,1940,675000
4,3.5,15704,2,1990,650000
3,2.5,4000,1.5,1903,640000
3,3,1407,2.5,2013,635000
3,2.5,5608,1,2013,604950
3,2.25,11580,1,1979,602000
3,1.75,1325,2.5,2005,600000
2,1.5,4800,1,1924,595000
4,2.5,35150,1,1993,592500
2,1.5,19709,1.5,1978,575000
3,2.5,4812,2,1990,533000
3,1.75,8835,1,1957,525000
3,2.5,70567,2,1995,509950
4,2.75,7001,2,2012,499990
4,2.75,15750,1,1973,482000
4,2.5,57050,2,1989,475000
3,1.75,5280,1,1943,465000
3,2.5,4094,2,1991,454000
2,1,8100,1,1950,452000
2,1.75,2890,1,1920,450000
3,1.75,3880,1,1944,443725
3,1.5,6384,1,1958,442000
3,1.75,11880,2,1979,440000
4,2.25,15075,2,1985,439950
3,2,52826,1,1991,429000
3,1.75,5043,1,1957,429000
3,1.75,507038,1,1985,428000
3,1,9147,1,1952,426000
3,2.25,7498,1,1987,423500
5,1.75,3748,1,1965,415000
3,1.75,6597,1,1939,410000
3,2.5,1418,3,2014,410000
2,1,10800,1,1984,400000
3,2.25,11040,2,1980,400000
3,2,31550,1,2010,399000
4,2,7102,1,1950,385000
2,1,6171,1,1949,378500
3,1,9877,1,1954,375000
3,2.5,5649,2,1989,375000
3,2.5,9653,2,1992,374950
3,1.75,3844,1,1985,369000
4,2.5,10433,2,2001,350000
4,2.5,5899,2,2011,345000
3,1.75,8487,1,1970,335500
4,2.5,7214,2,2003,335000
4,2.25,8817,1,1965,335000
2,1,6210,1,1950,331000
3,2.5,1844,2,2008,330000
2,1,4800,1,1969,325000
3,2.5,5267,2,1999,325000
2,1,5534,1,1947,325000
4,2.5,8424,2,1993,320000
2,2.25,1607,2,2007,309950
2,2,1020,3,1999,307300
3,2.25,9519,2,1994,305000
4,2.5,6783,2,2003,303000
3,1.75,9761,1,1967,300000
4,2,7200,1,1944,299999
4,2.5,6663,2,1990,295000
4,2.5,4495,2,2008,292500
3,2,11342,1,1964,280000
2,1.75,52769,1.5,1936,280000
3,2,22100,2,1981,277500
5,1,7350,1,1962,260000
2,1,20954,1,1977,255000
4,2,7826,1,1973,253000
2,1,11835,1,1932,250000
2,1,6350,1,1920,250000
3,1,9000,1.5,1954,240000
3,1.75,12208,1,1979,237000
3,1.75,12528,1,1970,207500
3,1,7980,1,1960,205000
3,2,7056,1,1958,180000
3,1.5,18459,2,1916,169000
3,3.5,6495,2,1996,2160000
4,5.5,217374,1,2006,1500000
4,3.5,15411,2,2006,1480000
3,2.5,9624,2,1999,1150000
4,2.5,11397,2,1984,960000
2,1.75,88909,1,1980,952000
4,3,7105,2,2008,935000
3,2,4000,1,1915,875000
3,2.5,9715,2,1924,840000
3,3.5,4171,3,2008,834800
3,2.5,6550,2,1912,830000
3,1.5,8175,1,1952,781000
3,2.5,54160,2,1981,768000
4,2.5,38119,2,1988,765000
4,2.5,7157,2,2003,760000
3,2.5,1339,2,2014,747450
3,1.75,5721,1,1964,746300
4,2.75,12005,1,1956,738950
4,2.75,2415,2,1966,735000
4,2.5,5936,2,2005,731000
3,1.75,10250,1,1963,710000
4,2.5,9990,2,1990,695000
3,2.5,28213,1.5,2009,692000
3,2,5973,1,1942,675000
4,1.75,4300,1.5,1929,656000
4,2.25,130244,2,1989,652500
3,2.5,7831,2,2004,650000
3,2,4000,2,1908,645000
3,1.5,4080,1.5,1915,640000
3,1.75,5097,1,1944,619790
3,2,3000,1.5,1927,619000
3,1.75,5000,1,1951,615000
3,1.75,7400,1,1977,605000
3,2.5,1937,2.5,2004,580000
3,2.5,1236,3,2008,580000
3,1.75,4800,1,1925,565000
5,1.75,9720,1,1955,565000
4,2.75,22000,1,1978,560000
4,3,13113,1,1974,550000
4,2.75,15100,1,2014,535000
3,2,3090,2,1990,532170
3,3.25,1125,3,2006,530000
4,2.75,7200,1,1940,525000
4,2.5,4750,2,2002,525000
3,1,4800,1,1951,525000
4,2.25,8034,1,1967,521000
3,2.25,6183,1,1929,510000
2,1,5040,1,1953,508000
4,2.25,3463,2,1968,497000
3,2.5,47480,2,1995,495000
3,2,2016,1,1931,483500
4,2.25,7000,1,1972,480000
4,2.5,6139,2,2001,479000
3,1.5,12632,1,1952,475000
3,3.25,2381,2,2003,470000
3,2.5,2778,2,2014,462608
3,1.75,5170,1,1963,461000
5,2.5,12987,1,1979,459000
3,2.25,5159,2,1985,449950
4,1.75,49149,1,1978,440000
3,1.75,8400,1,1961,440000
3,2.25,14950,1,1978,431000
3,1,5750,1,1948,425000
3,2.5,877,2,2008,417000
3,1,3090,1.5,1914,400000
4,2.5,14258,2,2014,399963
3,2,8225,1,1987,397500
4,2.5,6590,2,2005,397000
4,2.5,8584,2,2003,397000
2,2,4018,1,1950,395000
3,2,10720,2,1981,393000
3,3.25,1289,3,1998,392500
3,2.5,17808,1,1982,374000
5,3,9920,1,1990,370000
4,2.5,10221,2,1994,369950
3,1,10050,1,1963,367500
2,1,223898,1,1985,365000
3,2.25,8000,2,1981,360000
2,1,5077,1,1939,358000
4,2.5,6775,2,2003,355000
3,1,6000,1,1967,350000
2,1,5040,1,1960,350000
2,1,4000,1,1937,330000
2,2,1627,2,2009,327000
3,1,6840,2,1947,320000
2,1,8271,1,1924,319000
3,0.75,10092,1,1971,316000
2,1.75,2500,2,2008,310000
4,2,7440,1,1955,300000
4,2,12000,1,1943,299000
4,1.5,9750,1,1953,296000
3,1,5120,1.5,1925,294350
4,1.75,8840,1,1979,293550
4,2.5,6233,2,2001,291375
3,1.5,7200,1,1990,279950
5,1.75,9752,1,1962,278000
3,2.5,12250,2,1993,267000
3,2.5,10300,2,1994,262000
3,1.75,8000,1,1980,260000
3,1.75,7344,1,1911,260000
4,2.75,8820,1,1979,259900
2,1,7810,2,1945,255000
3,1.5,7200,1,1976,249000
3,2,8250,1,1987,245000
3,1.75,3900,1,1980,245000
3,1,7000,1,1978,240000
3,1,8163,1,1966,235000
2,1,7142,1,1951,225000
3,1.5,8366,1,1968,205000
3,1,9600,1,1975,195000
3,1.75,10816,2,1994,185000
3,2,9097,1,1954,173250
3,1.5,7200,1,1978,165000
3,1,5000,1,1917,165000
4,3.25,17820,1,1975,2140000
3,2.25,16000,2,1988,1760000
2,2.5,19449,2,1985,1300000
4,2.25,23321,2,1968,993500
4,3.25,33826,2,1924,911100
4,3,13444,2,1977,895000
5,3,6730,1,1977,865000
4,2.5,9847,2,1997,840000
4,2.5,14240,1,1974,824000
3,2.25,11250,1,1956,805000
2,2.25,5920,1,1950,779000
3,2.5,7807,2,1989,775000
3,2.5,11380,2,1995,770000
3,2.5,7525,2,1986,756000
5,2.5,11800,2,1983,722500
3,2.25,7279,1,1984,716125
4,2.5,13521,2,1987,715000
4,4,9309,2,2007,688000
3,2,4418,2,1994,661000
3,1.75,5520,1,1952,655000
3,2.5,4904,2,2003,634000
2,2.25,5500,1,1968,614306
3,2.5,8893,2,1987,610000
3,2.5,52272,1.5,1974,600000
3,2.5,1279,3,2008,568000
3,2,15258,1,1981,525000
11,3,4960,2,1918,520000
4,3,5520,1.5,1985,518500
4,2.75,8092,2,2013,505657
3,2,2500,2,2002,505000
4,2.5,7820,1,1975,490000
3,2.25,1520,2,2008,490000
3,1,8910,1,1940,489900
2,2.5,2533,2,2005,487000
2,1.75,6000,1,1904,478000
3,1.5,11092,1,1983,475000
3,2.25,51400,1,1977,462500
2,2.5,8107,1,1946,460000
3,1.75,16239,1,1922,452000
3,2.5,2710,2,2003,450000
3,1.75,13789,1,1966,450000
2,2.25,7280,2,1987,442500
2,1,12086,1,1983,440000
4,2.5,4593,2,2010,429000
4,2.5,14000,1,1950,427000
3,2.5,1689,2,2014,419990
3,1,19210,1,1949,415000
3,1,6992,1,1952,412000
2,1,6282,1,1939,412000
4,3.5,3000,2,2014,382000
4,2.5,4500,2,2011,379950
2,1,8527,1.5,1943,375000
3,1.75,11788,1,1958,373000
3,2.25,4859,2,1988,370000
4,2.25,9680,2,1965,369160
4,2,16015,1,1980,367500
2,1,7590,1,1939,359950
3,2,33630,1,1992,352500
3,1.5,7680,1,1955,352500
4,1.75,10086,1,1972,350000
4,2.25,2752,2,2014,338800
3,3.5,1471,3,1999,337900
4,1.75,13440,1.5,1931,335000
3,1,8800,1,1977,326188
3,1.5,20383,1,1985,319900
3,2,9195,1,1982,310000
3,2,7697,1,1994,305000
3,1.75,27000,1,1958,299900
3,2.25,9961,1,1969,299000
4,2.5,6325,2,1991,291000
3,2.5,5013,2,1987,289950
4,2.5,7350,1,1965,285000
5,1.75,9178,1,1963,275000
3,1.75,18360,2,1957,271500
3,1.5,10608,1,1962,264000
2,1,4515,1,1942,263500
3,1,7469,1.5,1940,260000
3,1.75,1133,2,2011,255000
3,2,7929,1,1989,245000
3,1,32670,1,1958,238000
3,2,6074,1,1968,222000
3,1.75,7300,2,1948,210000
2,1,6650,1,1980,203000
2,1,11450,1,1946,190000
2,1,5000,1,1911,184900
3,1,5700,1,1945,180000
2,1,3447,1,1978,178500
4,3.5,111078,2,2004,1530000
5,6,279968,2,2007,1490000
4,2.25,5160,2,1907,1400000
3,2.25,6000,2,2000,1390000
3,3.5,5432,2,1988,1200000
3,3.25,38509,2,1998,935000
3,1.75,56192,1,1959,892500
4,2.75,23000,2,1982,870000
5,2.75,3750,1.5,1913,852000
4,2.75,5637,2,2014,839990
5,2.75,4919,2,2014,831548
3,2.5,4559,2,1998,812000
5,2.75,17654,1,1975,810000
5,2,12000,2,1921,780000
4,3.25,3680,2,2009,760000
3,2.5,9000,2,1987,752888
2,2.25,5400,2,1905,750000
3,2,9870,1.5,1915,736500
4,1.75,3876,1.5,1924,733000
4,2.5,6440,2,1999,686000
3,2.25,10675,2,1990,678000
3,1.75,9718,1,1956,677500
2,1.5,46173,2,1964,661000
4,2.5,11259,2,1982,640000
4,3.25,7200,2,1978,635000
2,1,4160,1,1919,625000
4,2.5,27806,2,1997,625000
3,1.75,6050,1,1950,625000
5,3.5,6919,2,2014,612995
4,2.5,8800,1,1980,610000
3,2.5,77536,2,1981,600000
4,2.5,9135,1,1967,600000
4,2.5,6536,2,1999,600000
2,1.75,7764,1,1965,600000
4,2.5,6738,2,1989,599000
4,1.75,7245,1,1972,588000
5,2,14467,1,1960,585000
3,1.75,10183,1,1975,583000
3,2,15677,2.5,1976,565000
3,2.5,5683,2,2003,500000
2,2,7110,1,1949,495000
3,2.25,13100,1,1974,491500
4,1,18224,1.5,1911,470000
2,1,5650,2,1943,463000
3,2,4000,1,1940,462600
2,1.5,966,2,2006,455000
3,1.75,15695,1,1959,452500
4,2.5,7312,1,1977,449950
3,2.5,1658,3,1998,449000
4,2.5,8111,2,2004,445000
3,2.5,1056,3,2003,443600
2,1.5,1232,3,2007,437500
4,2,15044,1,1972,436000
